trial number, time (seconds),outcome
0,0.0015449,success
1,0.0017967,success
2,0.0027009,failure
3,0.0007046,success
4,0.0037934,failure
5,0.0028451,failure
6,0.0024325,failure
7,0.01071,failure
8,0.0096954,success
9,0.0051975,failure
10,0.0091672,success
11,0.0063633,failure
12,0.0064672,success
13,0.0024634,failure
14,0.0060437,failure
15,0.0053563,failure
16,0.0051989,failure
17,0.007821,failure
18,0.0100819,success
19,0.0069251,failure
20,0.0058494,failure
21,0.0066654,failure
22,0.0114246,failure
23,0.0051763,failure
24,0.0064504,failure
25,0.0049788,failure
26,0.0050395,failure
27,0.0037189,failure
28,0.0030394,failure
29,0.0027376,failure
30,0.0024303,failure
31,0.0076173,success
32,0.0045959,failure
33,0.0028078,failure
34,0.0026449,failure
35,0.0026948,failure
36,0.0008031,success
37,0.003517,failure
38,0.0021626,success
39,0.0026558,failure
40,0.0031505,failure
41,0.0027265,failure
42,0.0031204,failure
43,0.0026884,failure
44,0.0026498,success
45,0.0030312,failure
46,0.002459,failure
47,0.003757,failure
48,0.0025509,failure
49,0.0025406,failure
50,0.0025898,failure
51,0.0012597,success
52,0.0024455,failure
53,0.0042654,failure
54,0.0018521,success
55,0.0031903,success
56,0.0053405,success
57,0.0048981,success
58,0.0034406,failure
59,0.0031876,failure
60,0.002134,success
61,0.003425,failure
62,0.0042329,failure
63,0.0030131,failure
64,0.0027113,success
65,0.0025512,success
66,0.0026206,failure
67,0.0026564,failure
68,0.0024657,failure
69,0.0025425,failure
70,0.0017966,success
71,0.0025033,failure
72,0.0006998,success
73,0.0026537,failure
74,0.0026917,failure
75,0.0027249,failure
76,0.0025873,failure
77,0.0025612,failure
78,0.0024365,failure
79,0.0024796,failure
80,0.0024664,failure
81,0.0017703,success
82,0.0024397,failure
83,0.0026536,failure
84,0.0024417,failure
85,0.0028595,success
86,0.0026309,failure
87,0.0026156,failure
88,0.0025791,failure
89,0.0024635,failure
90,0.0026218,failure
91,0.0026678,failure
92,0.0024887,failure
93,0.0024574,failure
94,0.0026357,failure
95,0.0028031,success
96,0.0028107,failure
97,0.00249,failure
98,0.0025625,failure
99,0.0026183,failure
100,0.0026182,failure
101,0.0025749,failure
102,0.0024695,failure
103,0.0024608,failure
