password index,	Time to Hash entire salt(seconds),	Total time elapsed (seconds),size of password (characters)
0,1.81255,1.81255,6
1,1.8518,3.66438,8
2,1.89422,5.55861,8
3,2.02436,7.58298,6
4,1.86123,9.44422,9
5,1.93588,11.3801,5
6,1.88056,13.2607,4
7,2.04694,15.3076,6
8,1.86684,17.1745,7
9,1.96183,19.1363,6
10,1.84844,20.9848,6
11,1.87688,22.8617,8
12,1.87789,24.7396,6
13,1.88423,26.6238,8
14,1.92539,28.5492,6
15,1.98278,30.532,7
16,1.93695,32.469,6
17,1.81967,34.2887,6
18,1.83637,36.1251,6
19,1.95522,38.0803,6
20,1.82171,39.902,10
21,1.89347,41.7955,6
22,1.8181,43.6136,7
23,2.00387,45.6175,10
24,1.84603,47.4636,7
25,1.86131,49.3249,6
26,1.90751,51.2324,5
27,1.90935,53.1418,8
28,1.82316,54.965,8
29,1.91555,56.8805,7
30,1.87828,58.7588,7
31,2.06832,60.8272,6
32,2.07103,62.8982,6
33,1.93523,64.8335,6
34,1.938,66.7715,6
35,1.97808,68.7496,6
36,1.95729,70.7069,8
37,1.99652,72.7034,6
38,1.88948,74.5929,8
39,1.92321,76.5162,7
40,2.0553,78.5715,6
41,1.81317,80.3847,6
42,1.78672,82.1714,6
43,1.87433,84.0458,6
44,1.98608,86.0319,6
45,1.94206,87.9739,6
46,1.84193,89.8159,6
47,1.82795,91.6439,6
48,1.80265,93.4465,8
49,1.97936,95.4259,8
50,1.88103,97.3069,6
51,1.76443,99.0714,4
52,1.77126,100.843,7
53,1.7657,102.608,6
54,1.81423,104.423,6
55,2.2953,106.718,6
56,1.89081,108.609,6
57,1.83011,110.439,6
58,1.94628,112.385,8
59,1.89145,114.277,7
60,1.85976,116.136,6
61,1.79526,117.932,6
62,2.21825,120.15,7
63,2.20837,122.358,8
64,2.0741,124.432,8
65,2.56341,126.996,7
66,1.9961,128.992,6
67,2.06492,131.057,4
68,1.90973,132.967,6
69,1.7977,134.764,6
70,1.84676,136.611,8
71,2.14448,138.756,6
72,1.8438,140.6,7
73,1.80117,142.401,6
74,2.08045,144.481,4
75,2.36916,146.85,4
76,2.58996,149.44,6
77,2.03838,151.479,6
78,1.78993,153.269,6
79,1.80914,155.078,6
80,1.83257,156.91,8
81,1.81702,158.728,6
82,1.80328,160.531,6
83,1.78089,162.312,6
84,1.83414,164.146,6
85,1.83252,165.978,4
86,1.84979,167.828,6
87,1.87868,169.707,4
88,1.76873,171.476,6
89,1.84026,173.316,7
90,2.02808,175.344,6
91,1.942,177.286,7
92,1.79368,179.08,6
93,1.80122,180.881,7
94,1.80149,182.683,9
95,2.01468,184.697,6
96,1.82051,186.518,6
97,1.81613,188.334,7
98,2.02283,190.357,6
99,1.82663,192.183,6
100,1.85893,194.042,7
101,1.83782,195.88,8
102,1.79271,197.673,5
103,1.95957,199.632,6
104,1.81751,201.45,7
105,1.90822,203.358,6
106,1.78864,205.147,6
107,1.88263,207.03,6
108,1.96067,208.99,7
109,1.8291,210.819,8
110,2.03909,212.858,6
111,2.04371,214.902,6
112,1.81821,216.72,6
113,1.97955,218.7,6
114,1.84789,220.548,8
115,2.16827,222.716,7
116,2.07178,224.788,6
117,2.06419,226.852,4
118,1.97057,228.823,6
119,2.07881,230.902,10
120,2.01514,232.917,7
121,2.12214,235.039,8
122,1.98855,237.028,7
123,2.09896,239.126,6
124,2.07218,241.199,5
125,1.98319,243.182,6
126,2.07799,245.26,6
127,2.04319,247.303,7
128,2.11869,249.422,8
129,2.05283,251.475,6
130,2.09297,253.568,6
131,2.0706,255.638,7
132,2.0845,257.723,8
133,2.074,259.797,6
134,2.20445,262.001,7
135,1.81805,263.819,6
136,1.88341,265.703,6
137,2.0293,267.732,8
138,1.83417,269.566,7
139,2.13214,271.698,6
140,2.0461,273.745,4
141,1.79018,275.535,6
142,1.81725,277.352,6
143,2.03192,279.384,7
144,1.80543,281.189,6
145,1.7999,282.989,6
146,2.04925,285.039,7
147,1.94694,286.986,7
148,2.0488,289.034,6
149,2.0547,291.089,6
150,2.60122,293.69,8
151,1.96718,295.658,6
152,2.02829,297.686,8
153,1.92093,299.607,6
154,2.20348,301.81,7
155,2.0356,303.846,6
156,2.09638,305.942,7
157,1.9689,307.911,6
158,1.95228,309.864,6
159,1.95927,311.823,6
160,2.11334,313.936,6
161,1.95285,315.889,7
162,2.10674,317.996,6
163,2.13059,320.127,6
164,2.58644,322.713,6
